Date_ID,Date,Month,Quarter,Year
1,2023-01-01,January,1,2023
2,2023-01-02,January,1,2023
3,2023-01-03,January,1,2023
4,2023-01-04,January,1,2023
5,2023-01-05,January,1,2023
6,2023-01-06,January,1,2023
7,2023-01-07,January,1,2023
8,2023-01-08,January,1,2023
9,2023-01-09,January,1,2023
10,2023-01-10,January,1,2023
11,2023-01-11,January,1,2023
12,2023-01-12,January,1,2023
13,2023-01-13,January,1,2023
14,2023-01-14,January,1,2023
15,2023-01-15,January,1,2023
16,2023-01-16,January,1,2023
17,2023-01-17,January,1,2023
18,2023-01-18,January,1,2023
19,2023-01-19,January,1,2023
20,2023-01-20,January,1,2023
21,2023-01-21,January,1,2023
22,2023-01-22,January,1,2023
23,2023-01-23,January,1,2023
24,2023-01-24,January,1,2023
25,2023-01-25,January,1,2023
26,2023-01-26,January,1,2023
27,2023-01-27,January,1,2023
28,2023-01-28,January,1,2023
29,2023-01-29,January,1,2023
30,2023-01-30,January,1,2023
31,2023-01-31,January,1,2023
32,2023-02-01,February,1,2023
33,2023-02-02,February,1,2023
34,2023-02-03,February,1,2023
35,2023-02-04,February,1,2023
36,2023-02-05,February,1,2023
37,2023-02-06,February,1,2023
38,2023-02-07,February,1,2023
39,2023-02-08,February,1,2023
40,2023-02-09,February,1,2023
41,2023-02-10,February,1,2023
42,2023-02-11,February,1,2023
43,2023-02-12,February,1,2023
44,2023-02-13,February,1,2023
45,2023-02-14,February,1,2023
46,2023-02-15,February,1,2023
47,2023-02-16,February,1,2023
48,2023-02-17,February,1,2023
49,2023-02-18,February,1,2023
50,2023-02-19,February,1,2023
51,2023-02-20,February,1,2023
52,2023-02-21,February,1,2023
53,2023-02-22,February,1,2023
54,2023-02-23,February,1,2023
55,2023-02-24,February,1,2023
56,2023-02-25,February,1,2023
57,2023-02-26,February,1,2023
58,2023-02-27,February,1,2023
59,2023-02-28,February,1,2023
60,2023-03-01,March,1,2023
61,2023-03-02,March,1,2023
62,2023-03-03,March,1,2023
63,2023-03-04,March,1,2023
64,2023-03-05,March,1,2023
65,2023-03-06,March,1,2023
66,2023-03-07,March,1,2023
67,2023-03-08,March,1,2023
68,2023-03-09,March,1,2023
69,2023-03-10,March,1,2023
70,2023-03-11,March,1,2023
71,2023-03-12,March,1,2023
72,2023-03-13,March,1,2023
73,2023-03-14,March,1,2023
74,2023-03-15,March,1,2023
75,2023-03-16,March,1,2023
76,2023-03-17,March,1,2023
77,2023-03-18,March,1,2023
78,2023-03-19,March,1,2023
79,2023-03-20,March,1,2023
80,2023-03-21,March,1,2023
81,2023-03-22,March,1,2023
82,2023-03-23,March,1,2023
83,2023-03-24,March,1,2023
84,2023-03-25,March,1,2023
85,2023-03-26,March,1,2023
86,2023-03-27,March,1,2023
87,2023-03-28,March,1,2023
88,2023-03-29,March,1,2023
89,2023-03-30,March,1,2023
90,2023-03-31,March,1,2023
91,2023-04-01,April,2,2023
92,2023-04-02,April,2,2023
93,2023-04-03,April,2,2023
94,2023-04-04,April,2,2023
95,2023-04-05,April,2,2023
96,2023-04-06,April,2,2023
97,2023-04-07,April,2,2023
98,2023-04-08,April,2,2023
99,2023-04-09,April,2,2023
100,2023-04-10,April,2,2023
101,2023-04-11,April,2,2023
102,2023-04-12,April,2,2023
103,2023-04-13,April,2,2023
104,2023-04-14,April,2,2023
105,2023-04-15,April,2,2023
106,2023-04-16,April,2,2023
107,2023-04-17,April,2,2023
108,2023-04-18,April,2,2023
109,2023-04-19,April,2,2023
110,2023-04-20,April,2,2023
111,2023-04-21,April,2,2023
112,2023-04-22,April,2,2023
113,2023-04-23,April,2,2023
114,2023-04-24,April,2,2023
115,2023-04-25,April,2,2023
116,2023-04-26,April,2,2023
117,2023-04-27,April,2,2023
118,2023-04-28,April,2,2023
119,2023-04-29,April,2,2023
120,2023-04-30,April,2,2023
121,2023-05-01,May,2,2023
122,2023-05-02,May,2,2023
123,2023-05-03,May,2,2023
124,2023-05-04,May,2,2023
125,2023-05-05,May,2,2023
126,2023-05-06,May,2,2023
127,2023-05-07,May,2,2023
128,2023-05-08,May,2,2023
129,2023-05-09,May,2,2023
130,2023-05-10,May,2,2023
131,2023-05-11,May,2,2023
132,2023-05-12,May,2,2023
133,2023-05-13,May,2,2023
134,2023-05-14,May,2,2023
135,2023-05-15,May,2,2023
136,2023-05-16,May,2,2023
137,2023-05-17,May,2,2023
138,2023-05-18,May,2,2023
139,2023-05-19,May,2,2023
140,2023-05-20,May,2,2023
141,2023-05-21,May,2,2023
142,2023-05-22,May,2,2023
143,2023-05-23,May,2,2023
144,2023-05-24,May,2,2023
145,2023-05-25,May,2,2023
146,2023-05-26,May,2,2023
147,2023-05-27,May,2,2023
148,2023-05-28,May,2,2023
149,2023-05-29,May,2,2023
150,2023-05-30,May,2,2023
151,2023-05-31,May,2,2023
152,2023-06-01,June,2,2023
153,2023-06-02,June,2,2023
154,2023-06-03,June,2,2023
155,2023-06-04,June,2,2023
156,2023-06-05,June,2,2023
157,2023-06-06,June,2,2023
158,2023-06-07,June,2,2023
159,2023-06-08,June,2,2023
160,2023-06-09,June,2,2023
161,2023-06-10,June,2,2023
162,2023-06-11,June,2,2023
163,2023-06-12,June,2,2023
164,2023-06-13,June,2,2023
165,2023-06-14,June,2,2023
166,2023-06-15,June,2,2023
167,2023-06-16,June,2,2023
168,2023-06-17,June,2,2023
169,2023-06-18,June,2,2023
170,2023-06-19,June,2,2023
171,2023-06-20,June,2,2023
172,2023-06-21,June,2,2023
173,2023-06-22,June,2,2023
174,2023-06-23,June,2,2023
175,2023-06-24,June,2,2023
176,2023-06-25,June,2,2023
177,2023-06-26,June,2,2023
178,2023-06-27,June,2,2023
179,2023-06-28,June,2,2023
180,2023-06-29,June,2,2023
181,2023-06-30,June,2,2023
182,2023-07-01,July,3,2023
183,2023-07-02,July,3,2023
184,2023-07-03,July,3,2023
185,2023-07-04,July,3,2023
186,2023-07-05,July,3,2023
187,2023-07-06,July,3,2023
188,2023-07-07,July,3,2023
189,2023-07-08,July,3,2023
190,2023-07-09,July,3,2023
191,2023-07-10,July,3,2023
192,2023-07-11,July,3,2023
193,2023-07-12,July,3,2023
194,2023-07-13,July,3,2023
195,2023-07-14,July,3,2023
196,2023-07-15,July,3,2023
197,2023-07-16,July,3,2023
198,2023-07-17,July,3,2023
199,2023-07-18,July,3,2023
200,2023-07-19,July,3,2023
201,2023-07-20,July,3,2023
202,2023-07-21,July,3,2023
203,2023-07-22,July,3,2023
204,2023-07-23,July,3,2023
205,2023-07-24,July,3,2023
206,2023-07-25,July,3,2023
207,2023-07-26,July,3,2023
208,2023-07-27,July,3,2023
209,2023-07-28,July,3,2023
210,2023-07-29,July,3,2023
211,2023-07-30,July,3,2023
212,2023-07-31,July,3,2023
213,2023-08-01,August,3,2023
214,2023-08-02,August,3,2023
215,2023-08-03,August,3,2023
216,2023-08-04,August,3,2023
217,2023-08-05,August,3,2023
218,2023-08-06,August,3,2023
219,2023-08-07,August,3,2023
220,2023-08-08,August,3,2023
221,2023-08-09,August,3,2023
222,2023-08-10,August,3,2023
223,2023-08-11,August,3,2023
224,2023-08-12,August,3,2023
225,2023-08-13,August,3,2023
226,2023-08-14,August,3,2023
227,2023-08-15,August,3,2023
228,2023-08-16,August,3,2023
229,2023-08-17,August,3,2023
230,2023-08-18,August,3,2023
231,2023-08-19,August,3,2023
232,2023-08-20,August,3,2023
233,2023-08-21,August,3,2023
234,2023-08-22,August,3,2023
235,2023-08-23,August,3,2023
236,2023-08-24,August,3,2023
237,2023-08-25,August,3,2023
238,2023-08-26,August,3,2023
239,2023-08-27,August,3,2023
240,2023-08-28,August,3,2023
241,2023-08-29,August,3,2023
242,2023-08-30,August,3,2023
243,2023-08-31,August,3,2023
244,2023-09-01,September,3,2023
245,2023-09-02,September,3,2023
246,2023-09-03,September,3,2023
247,2023-09-04,September,3,2023
248,2023-09-05,September,3,2023
249,2023-09-06,September,3,2023
250,2023-09-07,September,3,2023
251,2023-09-08,September,3,2023
252,2023-09-09,September,3,2023
253,2023-09-10,September,3,2023
254,2023-09-11,September,3,2023
255,2023-09-12,September,3,2023
256,2023-09-13,September,3,2023
257,2023-09-14,September,3,2023
258,2023-09-15,September,3,2023
259,2023-09-16,September,3,2023
260,2023-09-17,September,3,2023
261,2023-09-18,September,3,2023
262,2023-09-19,September,3,2023
263,2023-09-20,September,3,2023
264,2023-09-21,September,3,2023
265,2023-09-22,September,3,2023
266,2023-09-23,September,3,2023
267,2023-09-24,September,3,2023
268,2023-09-25,September,3,2023
269,2023-09-26,September,3,2023
270,2023-09-27,September,3,2023
271,2023-09-28,September,3,2023
272,2023-09-29,September,3,2023
273,2023-09-30,September,3,2023
274,2023-10-01,October,4,2023
275,2023-10-02,October,4,2023
276,2023-10-03,October,4,2023
277,2023-10-04,October,4,2023
278,2023-10-05,October,4,2023
279,2023-10-06,October,4,2023
280,2023-10-07,October,4,2023
281,2023-10-08,October,4,2023
282,2023-10-09,October,4,2023
283,2023-10-10,October,4,2023
284,2023-10-11,October,4,2023
285,2023-10-12,October,4,2023
286,2023-10-13,October,4,2023
287,2023-10-14,October,4,2023
288,2023-10-15,October,4,2023
289,2023-10-16,October,4,2023
290,2023-10-17,October,4,2023
291,2023-10-18,October,4,2023
292,2023-10-19,October,4,2023
293,2023-10-20,October,4,2023
294,2023-10-21,October,4,2023
295,2023-10-22,October,4,2023
296,2023-10-23,October,4,2023
297,2023-10-24,October,4,2023
298,2023-10-25,October,4,2023
299,2023-10-26,October,4,2023
300,2023-10-27,October,4,2023
301,2023-10-28,October,4,2023
302,2023-10-29,October,4,2023
303,2023-10-30,October,4,2023
304,2023-10-31,October,4,2023
305,2023-11-01,November,4,2023
306,2023-11-02,November,4,2023
307,2023-11-03,November,4,2023
308,2023-11-04,November,4,2023
309,2023-11-05,November,4,2023
310,2023-11-06,November,4,2023
311,2023-11-07,November,4,2023
312,2023-11-08,November,4,2023
313,2023-11-09,November,4,2023
314,2023-11-10,November,4,2023
315,2023-11-11,November,4,2023
316,2023-11-12,November,4,2023
317,2023-11-13,November,4,2023
318,2023-11-14,November,4,2023
319,2023-11-15,November,4,2023
320,2023-11-16,November,4,2023
321,2023-11-17,November,4,2023
322,2023-11-18,November,4,2023
323,2023-11-19,November,4,2023
324,2023-11-20,November,4,2023
325,2023-11-21,November,4,2023
326,2023-11-22,November,4,2023
327,2023-11-23,November,4,2023
328,2023-11-24,November,4,2023
329,2023-11-25,November,4,2023
330,2023-11-26,November,4,2023
331,2023-11-27,November,4,2023
332,2023-11-28,November,4,2023
333,2023-11-29,November,4,2023
334,2023-11-30,November,4,2023
335,2023-12-01,December,4,2023
336,2023-12-02,December,4,2023
337,2023-12-03,December,4,2023
338,2023-12-04,December,4,2023
339,2023-12-05,December,4,2023
340,2023-12-06,December,4,2023
341,2023-12-07,December,4,2023
342,2023-12-08,December,4,2023
343,2023-12-09,December,4,2023
344,2023-12-10,December,4,2023
345,2023-12-11,December,4,2023
346,2023-12-12,December,4,2023
347,2023-12-13,December,4,2023
348,2023-12-14,December,4,2023
349,2023-12-15,December,4,2023
350,2023-12-16,December,4,2023
351,2023-12-17,December,4,2023
352,2023-12-18,December,4,2023
353,2023-12-19,December,4,2023
354,2023-12-20,December,4,2023
355,2023-12-21,December,4,2023
356,2023-12-22,December,4,2023
357,2023-12-23,December,4,2023
358,2023-12-24,December,4,2023
359,2023-12-25,December,4,2023
360,2023-12-26,December,4,2023
361,2023-12-27,December,4,2023
362,2023-12-28,December,4,2023
363,2023-12-29,December,4,2023
364,2023-12-30,December,4,2023
365,2023-12-31,December,4,2023
